date,stock_id,CashEarningsDistribution,CashExDividendTradingDate
2015-09-02,2354,2.5,2015-08-27
2016-09-10,2354,3,2016-09-02
2017-07-21,2354,3.8,2017-07-13
2018-07-31,2354,3.6,2018-07-25
2019-07-31,2354,3.2,2019-07-25
2020-07-31,2354,2.5,2020-07-23
2021-07-30,2354,1.8,2021-07-22
2022-07-10,2354,1.7,2022-07-04
2023-07-10,2354,1.6,2023-07-04
2011-09-07,2603,0.99994943,2011-09-01
2015-07-31,2603,0.1,2015-07-23
2017-11-13,2603,0,
2018-09-04,2603,0.2,2018-08-29
2018-11-06,2603,0,
2019-11-11,2603,0,
2021-08-24,2603,2.48660241,2021-08-18
2022-07-05,2603,17.99999637,2022-06-29
2023-07-08,2603,70,2023-06-30
2010-08-03,2454,25.99792445,2010-07-28
2011-07-16,2454,19.99992032,2011-07-08
2012-07-22,2454,8.99980342,2012-07-16
2013-07-22,2454,0.49998949,2013-07-16
2014-07-12,2454,15,2014-07-04
2015-07-21,2454,21.99993374,2015-07-15
2016-07-23,2454,11,2016-07-15
2017-07-14,2454,8,2017-07-06
2018-07-15,2454,7.5,2018-07-09
2019-07-14,2454,6,2019-07-08
2020-07-12,2454,5.00040913,2020-07-06
2021-07-12,2454,21,2021-07-06
2022-07-01,2454,57.00082799,2022-06-23
2023-06-30,2454,62.00538916,2023-06-20
2024-01-11,2454,24.6,2024-01-04
2010-05-24,2357,2.1,2010-05-18
2011-08-06,2357,14,2011-07-29
2012-08-14,2357,14.5,2012-08-08
2013-08-14,2357,19.17296825,2013-08-08
2014-08-17,2357,19.5,2014-08-11
2015-08-16,2357,17,2015-08-10
2016-08-13,2357,15,2016-08-05
2017-08-14,2357,17,2017-08-08
2018-07-09,2357,15,2018-07-03
2019-07-14,2357,15,2019-07-08
2020-07-04,2357,14,2020-06-24
2021-08-08,2357,26,2021-08-02
2022-08-06,2357,42,2022-07-29
2023-07-10,2357,15,2023-07-04
2010-09-21,2474,2,2010-09-15
2011-09-21,2474,3.68040143,2011-09-15
2012-09-07,2474,4.99997389,2012-08-30
2013-09-06,2474,6,2013-08-29
2014-09-23,2474,4.90222054,2014-09-17
2015-08-26,2474,6,2015-08-20
2016-09-14,2474,10,2016-09-08
2017-09-21,2474,10,2017-09-14
2018-09-24,2474,12,2018-09-18
2019-09-22,2474,12,2019-09-16
2020-09-10,2474,10,2020-09-03
2021-09-06,2474,12,2021-08-31
2022-09-11,2474,10.21394967,2022-09-05
2023-07-06,2474,10,2023-06-29
2023-12-13,2474,5,2023-12-07
2015-01-11,2353,0,
2016-07-22,2353,0,2016-07-14
2017-07-20,2353,0,2017-07-13
2018-07-12,2353,0,2018-07-05
2019-07-11,2353,0.77,2019-07-04
2020-07-10,2353,0.443909,2020-07-02
2021-07-06,2353,1.5,2021-06-30
2022-07-06,2353,2.28,2022-06-30
2023-07-07,2353,1.5,2023-06-29
2010-07-19,2207,4,2010-07-13
2011-07-20,2207,6,2011-07-14
2012-07-18,2207,8,2012-07-12
2013-07-23,2207,9,2013-07-17
2014-08-08,2207,12.6,2014-07-31
2015-07-22,2207,10.5,2015-07-16
2016-07-24,2207,12,2016-07-18
2017-07-24,2207,12,2017-07-18
2018-07-23,2207,12,2018-07-17
2019-07-22,2207,12,2019-07-16
2020-07-20,2207,14,2020-07-14
2021-07-17,2207,17,2021-07-09
2022-07-16,2207,20,2022-07-08
2023-08-09,2207,2,2023-08-03
2010-08-19,2412,4.06,2010-08-12
2011-07-27,2412,5.5243,2011-07-21
2012-07-23,2412,5.4608,2012-07-17
2013-07-23,2412,4.6295,2013-07-17
2014-07-23,2412,2.3881,2014-07-17
2015-07-23,2412,4.8564,2015-07-16
2016-07-28,2412,5.4852,2016-07-21
2017-07-29,2412,4.9419,2017-07-21
2018-07-29,2412,4.796,2018-07-23
2019-07-31,2412,4.479,2019-07-25
2020-07-08,2412,4.226,2020-07-02
2021-08-31,2412,4.306,2021-08-25
2022-07-07,2412,4.608,2022-06-30
2023-07-06,2412,4.702,2023-06-29
2010-07-12,2330,2.99973242,2010-07-06
2011-07-05,2330,2.99951326,2011-06-29
2012-07-10,2330,2.99948071,2012-07-04
2013-07-09,2330,2.9995522,2013-07-03
2014-07-20,2330,2.99991232,2014-07-14
2015-07-05,2330,4.49987539,2015-06-29
2016-07-03,2330,6,2016-06-27
2017-07-02,2330,7,2017-06-26
